trip_id,start_time,end_time,headway_secs
20C-GLOBAUX-04-I_2_1,20:05:18,20:13:47,509
20C-GLOBAUX-04-I_2_1,20:13:47,20:56:17,510
20C-GLOBAUX-04-I_2_1,20:56:17,21:04:57,520
20C-GLOBAUX-04-I_2_1,21:04:57,21:13:42,525
20C-GLOBAUX-04-I_2_1,21:13:42,21:31:22,530
20C-GLOBAUX-04-I_2_1,21:31:22,21:40:11,529
20C-GLOBAUX-04-I_2_1,21:40:11,21:49:01,530
20C-GLOBAUX-04-I_2_1,21:49:01,21:58:56,595
20C-GLOBAUX-04-I_2_1,21:58:56,22:28:56,600
20C-GLOBAUX-04-I_2_1,22:28:56,22:38:55,599
20C-GLOBAUX-04-I_2_1,22:38:55,22:58:55,600
20C-GLOBAUX-04-I_2_1,22:58:55,23:08:52,597
20C-GLOBAUX-04-I_2_1,23:08:52,23:18:52,600
20C-GLOBAUX-04-I_2_1,23:18:52,23:28:51,599
20C-GLOBAUX-04-I_2_1,23:28:51,23:48:51,600
20C-GLOBAUX-04-I_2_1,23:48:51,23:58:50,599
20C-GLOBAUX-04-I_2_1,23:58:50,24:38:50,600
20C-GLOBAUX-04-I_2_0,05:30:00,08:35:00,555
20C-GLOBAUX-04-I_2_0,08:35:00,08:44:00,540
20C-GLOBAUX-04-I_2_0,08:44:00,12:10:00,515
20C-GLOBAUX-04-I_2_0,12:10:00,12:18:15,495
